Created Date,Complaint Type,Longitude,Latitude,# of SRs
1/1/2016,HEAT/HOT WATER,-74.17,40.64,1
1/1/2016,HEAT/HOT WATER,-74.13,40.60,1
1/1/2016,HEAT/HOT WATER,-74.09,40.63,2
1/1/2016,HEAT/HOT WATER,-74.09,40.64,1
1/1/2016,HEAT/HOT WATER,-74.04,40.62,1
1/1/2016,HEAT/HOT WATER,-74.03,40.63,1
1/1/2016,HEAT/HOT WATER,-74.03,40.63,1
1/1/2016,HEAT/HOT WATER,-74.02,40.64,2
1/1/2016,HEAT/HOT WATER,-74.02,40.64,5
1/1/2016,HEAT/HOT WATER,-74.01,40.63,1
1/1/2016,HEAT/HOT WATER,-74.01,40.64,1
1/1/2016,HEAT/HOT WATER,-74.01,40.61,1
1/1/2016,HEAT/HOT WATER,-74.01,40.64,1
1/1/2016,HEAT/HOT WATER,-74.01,40.64,1
1/1/2016,HEAT/HOT WATER,-74.01,40.63,1
1/1/2016,HEAT/HOT WATER,-74.01,40.73,1
1/1/2016,HEAT/HOT WATER,-74.00,40.74,1
1/1/2016,HEAT/HOT WATER,-74.00,40.60,1
1/1/2016,HEAT/HOT WATER,-74.00,40.73,1
1/1/2016,HEAT/HOT WATER,-74.00,40.73,3
1/1/2016,HEAT/HOT WATER,-74.00,40.73,1
1/1/2016,HEAT/HOT WATER,-74.00,40.58,2
1/1/2016,HEAT/HOT WATER,-74.00,40.63,1
1/1/2016,HEAT/HOT WATER,-74.00,40.73,1
1/1/2016,HEAT/HOT WATER,-74.00,40.72,1
1/1/2016,HEAT/HOT WATER,-74.00,40.75,1
1/1/2016,HEAT/HOT WATER,-74.00,40.60,2
1/1/2016,HEAT/HOT WATER,-74.00,40.75,2
1/1/2016,HEAT/HOT WATER,-74.00,40.74,2
1/1/2016,HEAT/HOT WATER,-74.00,40.75,1
1/1/2016,HEAT/HOT WATER,-74.00,40.75,1
1/1/2016,HEAT/HOT WATER,-74.00,40.69,1
1/1/2016,HEAT/HOT WATER,-73.99,40.64,1
1/1/2016,HEAT/HOT WATER,-73.99,40.72,1
1/1/2016,HEAT/HOT WATER,-73.99,40.73,1
1/1/2016,HEAT/HOT WATER,-73.99,40.76,1
1/1/2016,HEAT/HOT WATER,-73.99,40.72,1
1/1/2016,HEAT/HOT WATER,-73.99,40.76,2
1/1/2016,HEAT/HOT WATER,-73.99,40.76,1
1/1/2016,HEAT/HOT WATER,-73.99,40.76,1
1/1/2016,HEAT/HOT WATER,-73.99,40.69,2
1/1/2016,HEAT/HOT WATER,-73.99,40.76,1
1/1/2016,HEAT/HOT WATER,-73.99,40.72,1
1/1/2016,HEAT/HOT WATER,-73.99,40.76,1
1/1/2016,HEAT/HOT WATER,-73.99,40.76,2
1/1/2016,HEAT/HOT WATER,-73.99,40.67,1
1/1/2016,HEAT/HOT WATER,-73.99,40.69,1
1/1/2016,HEAT/HOT WATER,-73.99,40.64,1
1/1/2016,HEAT/HOT WATER,-73.99,40.69,1
1/1/2016,HEAT/HOT WATER,-73.99,40.73,1
1/1/2016,HEAT/HOT WATER,-73.99,40.73,2
1/1/2016,HEAT/HOT WATER,-73.99,40.77,1
1/1/2016,HEAT/HOT WATER,-73.99,40.71,2
1/1/2016,HEAT/HOT WATER,-73.99,40.64,1
